framework,dataset,model,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_time_per_epoch,std_time_per_epoch,mean_images_per_sec,std_images_per_sec
keras,cifar10,mobilenetv2,0.3961388888888889,0.08845951417540204,0.37568695068647157,0.10316147002659003,86.71333333333332,0.1800925687898711,369.0333333333333,0.7505553499465141
keras,cifar10,resnet20,0.8432999999999999,0.0043840620433567,0.8445027721795149,0.004584328254715475,112.50999999999999,0.7778174593052133,284.4,1.979898987322321
keras,cifar10,resnet50,0.9585277777777778,0.0010046189622236164,0.9584455917326798,0.0010193317529209112,149.53333333333333,1.8457879979383636,214.0,2.628687885618984
keras,cifar10,vgg16,0.9379444444444444,0.002255138166088282,0.9377293090725239,0.0022960044118416232,233.4466666666667,0.9957074536897406,137.1,0.5999999999999943
keras,plantvillage,mobilenetv2,0.5718319368996102,0.10454923889921233,0.46879527119288067,0.10452684221146205,138.65,14.657820438250694,210.29999999999998,23.657768280207655
keras,plantvillage,resnet50,0.9946597919160297,0.00024360107826760748,0.9931088502012487,8.916087090200631e-05,323.59,129.79303486705282,97.93333333333334,31.90052246176124
keras,plantvillage,vgg16,0.9930024859589356,0.000961265676172636,0.9906869733808404,0.001378740955060588,397.1066666666666,0.42193996413393126,72.83333333333333,0.05773502691896955
pytorch,cifar10,mobilenetv2,0.9539166666666666,0.0014240006242196039,0.9538342857570955,0.0014311689803698643,200.39666666666668,16.86172391344767,160.46666666666667,14.154975568093827
pytorch,cifar10,resnet50,0.9346666666666666,0.027785262880407186,0.9344740907462707,0.027908934715250043,285.1766666666667,50.44975850619437,114.36666666666667,18.331484755287367
pytorch,cifar10,vgg16,0.9573333333333333,0.001233220715579107,0.9572428447752616,0.0012239402785011039,493.59,62.71469285582129,65.56666666666666,8.809842980061182
pytorch,plantvillage,mobilenetv2,0.9974219685111868,0.0004603627658594789,0.9962753748292995,0.0003738174661337786,162.40333333333334,15.704860181909726,179.26666666666665,17.85086365791116
pytorch,plantvillage,resnet50,0.9976674953196452,0.0005315811335877096,0.996406688717972,0.0005348172135822671,231.67,1.7360587547661075,124.86666666666667,0.9018499505645758
pytorch,plantvillage,vgg16,0.9975754227664733,0.0005625725924507572,0.9966281363019055,0.0005197111327969748,378.93,2.813947405336483,76.33333333333333,0.5859465277082325
